gtdb_id	cdhA	cdhB	cdhC	mcrA	mcrB	mcrC	mcrD	mcrG	mtrA	mtrB	mtrC	mtrD	mtrE	mtrF	mtrG	mtrH
GB_GCA_000154345.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000155435.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000155715.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000156115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000156155.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000156295.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000158135.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000158155.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000158655.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000168735.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000168995.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000169075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000169115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000169355.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000169395.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000169995.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000170815.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000171835.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000171875.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000173095.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000173115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000173575.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000179315.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000196815.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000198515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000200715.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_000204585.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_000209515.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000213395.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000214705.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GB_GCA_000218705.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000218745.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000220865.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000224475.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000224765.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000227505.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000237975.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000238815.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000244995.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000252485.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000257205.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000258595.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000263195.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000263275.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000264945.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000270325.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000272025.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000285855.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000296795.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000299095.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000299115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000302695.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000306725.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_000307305.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000307935.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000307955.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000308255.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000309865.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_000309945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000314955.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000317655.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000318405.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000330845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000332255.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000332645.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000333235.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000333335.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000335715.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000335735.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000336895.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000342265.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000350305.1	0	0	0	1	1	1	1	1	0	0	0	0	0	0	0	0
GB_GCA_000353875.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000372185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000372225.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000372785.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000378025.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000379225.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000380225.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000380705.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000381565.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000381625.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000383115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000383355.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000383895.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000384615.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000389735.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000402075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000402295.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000402775.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000403035.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000403255.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000403275.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000403295.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000403315.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000403475.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000403495.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000403945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000404785.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000405345.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000405605.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000413015.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000415505.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000415965.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000415985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000416005.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000416085.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000416275.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000416315.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000421005.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000421045.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000421085.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000421325.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000426125.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000428345.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000428385.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000431015.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000431235.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000432015.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000432135.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000432155.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000432335.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000432375.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000432775.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000433355.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000433515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000433535.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000433635.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000433975.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000434055.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000434235.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000434635.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000434675.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000434775.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000434895.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000434915.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000434935.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000434995.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000435055.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000435075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000435195.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000435475.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000435495.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000435615.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000435675.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000435715.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000435835.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000436075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000436335.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000436495.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000436735.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000436755.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000436835.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000437175.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000437255.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000437375.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000437555.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000437755.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000437855.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000437895.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000438985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000439025.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000445185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000447245.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000466585.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000470535.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000471925.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000472185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000473305.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000482765.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000484975.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_000492175.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000493945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000493965.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000494145.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000494185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000495505.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000496175.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000496195.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000496215.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000496235.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000497405.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000497835.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000499765.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
GB_GCA_000500915.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000503195.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000504605.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000504625.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000508305.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000508865.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000508985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000509105.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000509125.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000509225.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000511875.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000513055.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000513075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000517385.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000518365.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000521465.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000522425.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000525025.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000526255.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000526415.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000526435.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000531095.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000565255.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000565345.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000585015.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000585055.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000585075.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000586435.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000597885.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000612485.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000613065.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000613385.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000613465.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000620185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000620205.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000620545.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000620725.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000621185.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000621905.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000632805.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000634115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000634215.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000634415.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000634515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000634735.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000635015.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000635495.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000635535.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000648925.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000681355.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000686145.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000687655.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000687975.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000688095.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000690595.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000695745.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000696115.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000701725.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000702025.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000702245.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000702465.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000702845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000703065.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000708525.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000710935.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000715605.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000715615.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000715635.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000715685.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000715825.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000715855.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000716465.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000717735.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000719025.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000719105.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000720375.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000720535.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000720555.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000720845.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000720995.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000721275.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000721375.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000722615.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000725195.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000733415.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000737945.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000737985.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000739515.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000739535.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000739635.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000739655.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000741495.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000743525.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000745135.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000746015.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000746705.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000746765.1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
GB_GCA_000747625.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000751295.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000751355.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000751555.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GB_GCA_000751595.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
