name	dist	support	dup_percent	dup_sp	evoltype	lineage	named_lineage	rank	sci_name	taxid
N6808	0.59766				S	1|2|6865|6866|6867|6868	root|d__Archaea|p__SpSt-1190|c__SpSt-1190|o__SpSt-1190|f__SpSt-1190	family	f__SpSt-1190	f__SpSt-1190
GB_GCA_002789275.1	2.17234					1|2|796|797|798|799|800|801|805	root|d__Archaea|p__Huberarchaeota|c__Huberarchaeia|o__Huberarchaeales|f__Huberarchaeaceae|g__Huberarchaeum|s__Huberarchaeum crystalense|GB_GCA_002789275.1	subspecies	s__Huberarchaeum crystalense	GB_GCA_002789275.1
N6815	0.04253				S	1|2|2243|2244|2245|2246|2247	root|d__Archaea|p__Undinarchaeota|c__Undinarchaeia|o__Undinarchaeales|f__Undinarchaeaceae|g__Undinarchaeum	genus	g__Undinarchaeum	g__Undinarchaeum
GB_GCA_002687935.1	0.06729					1|2|2243|2244|2245|2246|2247|2248|2252	root|d__Archaea|p__Undinarchaeota|c__Undinarchaeia|o__Undinarchaeales|f__Undinarchaeaceae|g__Undinarchaeum|s__Undinarchaeum sp002687935|GB_GCA_002687935.1	subspecies	s__Undinarchaeum sp002687935	GB_GCA_002687935.1
N2620	0.11931				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N4363	0.18022				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N4803	0.0313				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N4992	0.04952				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N5195	0.05302				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N5310	0.14529				S	1|2|2124|2125	root|d__Archaea|p__Iainarchaeota|c__Iainarchaeia	class	c__Iainarchaeia	c__Iainarchaeia
N5356	0.14599				S	1|2|1010|1011	root|d__Archaea|p__Altiarchaeota|c__Altiarchaeia	class	c__Altiarchaeia	c__Altiarchaeia
GB_GCA_016935655.1	0.88128					1|2|1010|1011|8688|8689|8690|8691|8692	root|d__Archaea|p__Altiarchaeota|c__Altiarchaeia|o__JAFGQM01|f__JAFGQM01|g__JAFGQM01|s__JAFGQM01 sp016935655|GB_GCA_016935655.1	subspecies	s__JAFGQM01 sp016935655	GB_GCA_016935655.1
N6501	0.06083				S	1|2|621|622	root|d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia	class	c__Nanoarchaeia	c__Nanoarchaeia
N6512	0.49689				S	1|2|621|622|4591	root|d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia|o__Nanoarchaeales	order	o__Nanoarchaeales	o__Nanoarchaeales
N6736	0.07565				S	1|2|959|960	root|d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia	class	c__Aenigmatarchaeia	c__Aenigmatarchaeia
N6795	0.08717				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N6806	0.08737				S	1|2|6865|6866|6867|6868	root|d__Archaea|p__SpSt-1190|c__SpSt-1190|o__SpSt-1190|f__SpSt-1190	family	f__SpSt-1190	f__SpSt-1190
GB_GCA_018220955.1	0.51633					1|2|6865|6866|6867|6868|10770|10771|10772	root|d__Archaea|p__SpSt-1190|c__SpSt-1190|o__SpSt-1190|f__SpSt-1190|g__JAAOXV01|s__JAAOXV01 sp018220955|GB_GCA_018220955.1	subspecies	s__JAAOXV01 sp018220955	GB_GCA_018220955.1
GB_GCA_002495465.1	0.03456					1|2|2243|2244|2245|2246|2247|3907|3908	root|d__Archaea|p__Undinarchaeota|c__Undinarchaeia|o__Undinarchaeales|f__Undinarchaeaceae|g__Undinarchaeum|s__Undinarchaeum marinum|GB_GCA_002495465.1	subspecies	s__Undinarchaeum marinum	GB_GCA_002495465.1
GB_GCA_014189675.1	0.02245					1|2|2243|2244|2245|2246|2247|6542|6543	root|d__Archaea|p__Undinarchaeota|c__Undinarchaeia|o__Undinarchaeales|f__Undinarchaeaceae|g__Undinarchaeum|s__Undinarchaeum sp014189675|GB_GCA_014189675.1	subspecies	s__Undinarchaeum sp014189675	GB_GCA_014189675.1
N1534	0.12592				S	1|2|3	root|d__Archaea|p__Halobacteriota	phylum	p__Halobacteriota	p__Halobacteriota
N2619	0.07828				S	1|2|236	root|d__Archaea|p__Thermoplasmatota	phylum	p__Thermoplasmatota	p__Thermoplasmatota
N4011	0.06371				S	1|2|82	root|d__Archaea|p__Thermoproteota	phylum	p__Thermoproteota	p__Thermoproteota
N4362	0.07389				S	1|2|1243	root|d__Archaea|p__Asgardarchaeota	phylum	p__Asgardarchaeota	p__Asgardarchaeota
N4739	0.05121				S	1|2	root|d__Archaea	superkingdom	d__Archaea	d__Archaea
N4802	0.078				S	1|2|341	root|d__Archaea|p__Methanobacteriota_A	phylum	p__Methanobacteriota_A	p__Methanobacteriota_A
N4966	0.11812				S	1|2|1786|1787	root|d__Archaea|p__Methanobacteriota_B|c__Thermococci	class	c__Thermococci	c__Thermococci
N4991	0.0606				S	1|2|4241	root|d__Archaea|p__Hadarchaeota	phylum	p__Hadarchaeota	p__Hadarchaeota
N5177	0.21508				S	1|2|995|996	root|d__Archaea|p__Micrarchaeota|c__Micrarchaeia	class	c__Micrarchaeia	c__Micrarchaeia
N5194	0.11462				S	1|2|7689|7690	root|d__Archaea|p__B1Sed10-29|c__B1Sed10-29	class	c__B1Sed10-29	c__B1Sed10-29
N5300	0.09014				S	1|2|2124|2125	root|d__Archaea|p__Iainarchaeota|c__Iainarchaeia	class	c__Iainarchaeia	c__Iainarchaeia
N5309	0.47875				S	1|2|2124|2125|7211|7212	root|d__Archaea|p__Iainarchaeota|c__Iainarchaeia|o__JAADDC01|f__JAADDC01	family	f__JAADDC01	f__JAADDC01
N5348	0.10509				S	1|2|1010|1011|2646	root|d__Archaea|p__Altiarchaeota|c__Altiarchaeia|o__IMC4	order	o__IMC4	o__IMC4
N5355	0.95622				S	1|2|1010|1011|1012|1013|1014	root|d__Archaea|p__Altiarchaeota|c__Altiarchaeia|o__Altiarchaeales|f__Altiarchaeaceae|g__Altiarchaeum	genus	g__Altiarchaeum	g__Altiarchaeum
N6461	0.09584				S	1|2|621|622	root|d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia	class	c__Nanoarchaeia	c__Nanoarchaeia
N6500	0.14669				S	1|2|621|622	root|d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia	class	c__Nanoarchaeia	c__Nanoarchaeia
N6510	0.50563				S	1|2|621|622|4591|4592	root|d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia|o__Nanoarchaeales|f__Nanopusillaceae	family	f__Nanopusillaceae	f__Nanopusillaceae
GB_GCA_000008085.1	0.87152					1|2|621|622|4591|9312|9313|9314|9315	root|d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia|o__Nanoarchaeales|f__Nanoarchaeaceae|g__Nanoarchaeum|s__Nanoarchaeum equitans|GB_GCA_000008085.1	subspecies	s__Nanoarchaeum equitans	GB_GCA_000008085.1
N6674	0.03714				S	1|2|959|960	root|d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia	class	c__Aenigmatarchaeia	c__Aenigmatarchaeia
N6735	0.10632				S	1|2|959|960	root|d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia	class	c__Aenigmatarchaeia	c__Aenigmatarchaeia
N6767	0.36736				S	1|2|3458|3459|3460	root|d__Archaea|p__Nanohaloarchaeota|c__Nanosalinia|o__Nanosalinales	order	o__Nanosalinales	o__Nanosalinales
N6794	0.18829				S	1|2|3508|3509|3510	root|d__Archaea|p__EX4484-52|c__EX4484-52|o__EX4484-52	order	o__EX4484-52	o__EX4484-52
N6802	0.14702				S	1|2|6865|6866|6867|6868	root|d__Archaea|p__SpSt-1190|c__SpSt-1190|o__SpSt-1190|f__SpSt-1190	family	f__SpSt-1190	f__SpSt-1190
N6805	0.31964				S	1|2|6865|6866|6867|6868	root|d__Archaea|p__SpSt-1190|c__SpSt-1190|o__SpSt-1190|f__SpSt-1190	family	f__SpSt-1190	f__SpSt-1190
N784	0.08744				S	1|2|3	root|d__Archaea|p__Halobacteriota	phylum	p__Halobacteriota	p__Halobacteriota
N1533	0.05237				S	1|2|3	root|d__Archaea|p__Halobacteriota	phylum	p__Halobacteriota	p__Halobacteriota
N2615	0.07733				S	1|2|236	root|d__Archaea|p__Thermoplasmatota	phylum	p__Thermoplasmatota	p__Thermoplasmatota
N2618	1.08694				S	1|2|236|6730|6731|6732|6733	root|d__Archaea|p__Thermoplasmatota|c__B47-G6|o__B47-G6B|f__47-G6|g__B47-G6	genus	g__B47-G6	g__B47-G6
N3989	0.03631				S	1|2|82	root|d__Archaea|p__Thermoproteota	phylum	p__Thermoproteota	p__Thermoproteota
N4010	0.11307				S	1|2|82|2808	root|d__Archaea|p__Thermoproteota|c__Korarchaeia	class	c__Korarchaeia	c__Korarchaeia
N4360	0.04192				S	1|2|1243	root|d__Archaea|p__Asgardarchaeota	phylum	p__Asgardarchaeota	p__Asgardarchaeota
GB_GCA_019058495.1	0.70763					1|2|1243|3728|3729|3730|3731|3732|3734	root|d__Archaea|p__Asgardarchaeota|c__LC30|o__LC30|f__LC30|g__LC30|s__LC30 sp019058495|GB_GCA_019058495.1	subspecies	s__LC30 sp019058495	GB_GCA_019058495.1
N4707	0.33595				S	1|2|178|179|180	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	order	o__Methanobacteriales	o__Methanobacteriales
N4738	0.29117				S	1|2|3388|3389|3390	root|d__Archaea|p__Hydrothermarchaeota|c__Hydrothermarchaeia|o__Hydrothermarchaeales	order	o__Hydrothermarchaeales	o__Hydrothermarchaeales
N4796	0.48487				S	1|2|341|342|343	root|d__Archaea|p__Methanobacteriota_A|c__Methanococci|o__Methanococcales	order	o__Methanococcales	o__Methanococcales
N4801	0.6889				S	1|2|341|4017|4018|4019|4020	root|d__Archaea|p__Methanobacteriota_A|c__Methanopyri|o__Methanopyrales|f__Methanopyraceae|g__Methanopyrus	genus	g__Methanopyrus	g__Methanopyrus
N4938	0.47973				S	1|2|1786|1787|1788|1789	root|d__Archaea|p__Methanobacteriota_B|c__Thermococci|o__Thermococcales|f__Thermococcaceae	family	f__Thermococcaceae	f__Thermococcaceae
N4965	0.17193				S	1|2|1786|1787|1908	root|d__Archaea|p__Methanobacteriota_B|c__Thermococci|o__Methanofastidiosales	order	o__Methanofastidiosales	o__Methanofastidiosales
N4989	0.29746				S	1|2|4241|4242|4243	root|d__Archaea|p__Hadarchaeota|c__Hadarchaeia|o__Hadarchaeales	order	o__Hadarchaeales	o__Hadarchaeales
GB_GCA_003660555.1	0.70137					1|2|4241|5784|5785|5786|5787|5788|5789	root|d__Archaea|p__Hadarchaeota|c__B88-G9|o__B88-G9|f__B88-G9|g__B88-G9|s__B88-G9 sp003660555|GB_GCA_003660555.1	subspecies	s__B88-G9 sp003660555	GB_GCA_003660555.1
N5127	0.09398				S	1|2|995|996	root|d__Archaea|p__Micrarchaeota|c__Micrarchaeia	class	c__Micrarchaeia	c__Micrarchaeia
N5176	0.27744				S	1|2|995|996|1504	root|d__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Norongarragalinales	order	o__Norongarragalinales	o__Norongarragalinales
N5188	0.16604				S	1|2|7689|7690|9185	root|d__Archaea|p__B1Sed10-29|c__B1Sed10-29|o__B1Sed10-29	order	o__B1Sed10-29	o__B1Sed10-29
N5193	0.22339				S	1|2|7689|7690|7691	root|d__Archaea|p__B1Sed10-29|c__B1Sed10-29|o__WALL01	order	o__WALL01	o__WALL01
N5298	0.17153				S	1|2|2124|2125	root|d__Archaea|p__Iainarchaeota|c__Iainarchaeia	class	c__Iainarchaeia	c__Iainarchaeia
GB_GCA_016926295.1	1.03811					1|2|2124|2125|7481|7482|7483|7484|7485	root|d__Archaea|p__Iainarchaeota|c__Iainarchaeia|o__JAFGOX01|f__JAFGOX01|g__JAFGOX01|s__JAFGOX01 sp016926295|GB_GCA_016926295.1	subspecies	s__JAFGOX01 sp016926295	GB_GCA_016926295.1
N5305	0.29934				S	1|2|2124|2125|7211|7212	root|d__Archaea|p__Iainarchaeota|c__Iainarchaeia|o__JAADDC01|f__JAADDC01	family	f__JAADDC01	f__JAADDC01
N5308	0.27211				S	1|2|2124|2125|7211|7212	root|d__Archaea|p__Iainarchaeota|c__Iainarchaeia|o__JAADDC01|f__JAADDC01	family	f__JAADDC01	f__JAADDC01
N5346	0.05114				S	1|2|1010|1011|2646	root|d__Archaea|p__Altiarchaeota|c__Altiarchaeia|o__IMC4	order	o__IMC4	o__IMC4
GB_GCA_001723855.1	0.49781					1|2|1010|1011|2646|4752|4753|4754|4755	root|d__Archaea|p__Altiarchaeota|c__Altiarchaeia|o__IMC4|f__MCBC01|g__MCBC01|s__MCBC01 sp001723855|GB_GCA_001723855.1	subspecies	s__MCBC01 sp001723855	GB_GCA_001723855.1
N5351	0.05664				S	1|2|1010|1011|1012|1013|1014	root|d__Archaea|p__Altiarchaeota|c__Altiarchaeia|o__Altiarchaeales|f__Altiarchaeaceae|g__Altiarchaeum	genus	g__Altiarchaeum	g__Altiarchaeum
N5354	0.06166				S	1|2|1010|1011|1012|1013|1014	root|d__Archaea|p__Altiarchaeota|c__Altiarchaeia|o__Altiarchaeales|f__Altiarchaeaceae|g__Altiarchaeum	genus	g__Altiarchaeum	g__Altiarchaeum
N6423	0.08213				S	1|2|621|622	root|d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia	class	c__Nanoarchaeia	c__Nanoarchaeia
N6460	0.3555				S	1|2|621|622|3057	root|d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia|o__UBA10117	order	o__UBA10117	o__UBA10117
N6484	0.04125				S	1|2|621|622	root|d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia	class	c__Nanoarchaeia	c__Nanoarchaeia
N6499	0.08014				S	1|2|621|622	root|d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia	class	c__Nanoarchaeia	c__Nanoarchaeia
N6508	0.12479				S	1|2|621|622|4591|4592	root|d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia|o__Nanoarchaeales|f__Nanopusillaceae	family	f__Nanopusillaceae	f__Nanopusillaceae
GB_GCA_011331665.1	0.28827					1|2|621|622|4591|4592|6654|6655|6656	root|d__Archaea|p__Nanoarchaeota|c__Nanoarchaeia|o__Nanoarchaeales|f__Nanopusillaceae|g__DSQZ01|s__DSQZ01 sp011331665|GB_GCA_011331665.1	subspecies	s__DSQZ01 sp011331665	GB_GCA_011331665.1
N6626	0.06812				S	1|2|959|960	root|d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia	class	c__Aenigmatarchaeia	c__Aenigmatarchaeia
N6673	0.05423				S	1|2|959|960	root|d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia	class	c__Aenigmatarchaeia	c__Aenigmatarchaeia
N6729	0.08999				S	1|2|959|960|3860	root|d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__GW2011-AR5	order	o__GW2011-AR5	o__GW2011-AR5
N6734	0.85507				S	1|2|959|960|7962|7963	root|d__Archaea|p__Aenigmatarchaeota|c__Aenigmatarchaeia|o__QMZS01|f__QMZS01	family	f__QMZS01	f__QMZS01
N6763	0.56993				S	1|2|3458|3459|3460|4383	root|d__Archaea|p__Nanohaloarchaeota|c__Nanosalinia|o__Nanosalinales|f__Nanosalinaceae	family	f__Nanosalinaceae	f__Nanosalinaceae
N6766	0.1216				S	1|2|3458|3459|3460	root|d__Archaea|p__Nanohaloarchaeota|c__Nanosalinia|o__Nanosalinales	order	o__Nanosalinales	o__Nanosalinales
N6786	0.10363				S	1|2|3508|3509|3510	root|d__Archaea|p__EX4484-52|c__EX4484-52|o__EX4484-52	order	o__EX4484-52	o__EX4484-52
N6793	0.12917				S	1|2|3508|3509|3510	root|d__Archaea|p__EX4484-52|c__EX4484-52|o__EX4484-52	order	o__EX4484-52	o__EX4484-52
N6800	0.1768				S	1|2|6865|6866|6867|6868|8269	root|d__Archaea|p__SpSt-1190|c__SpSt-1190|o__SpSt-1190|f__SpSt-1190|g__JAAOXX01	genus	g__JAAOXX01	g__JAAOXX01
GB_GCA_015522095.1	0.38155					1|2|6865|6866|6867|6868|7652|7653|7654	root|d__Archaea|p__SpSt-1190|c__SpSt-1190|o__SpSt-1190|f__SpSt-1190|g__WAMX01|s__WAMX01 sp015522095|GB_GCA_015522095.1	subspecies	s__WAMX01 sp015522095	GB_GCA_015522095.1
GB_GCA_011049195.1	0.34332					1|2|6865|6866|6867|6868|10397|10398|10399	root|d__Archaea|p__SpSt-1190|c__SpSt-1190|o__SpSt-1190|f__SpSt-1190|g__SpSt-1190|s__SpSt-1190 sp011049195|GB_GCA_011049195.1	subspecies	s__SpSt-1190 sp011049195	GB_GCA_011049195.1
GB_GCA_018221005.1	0.31095					1|2|6865|6866|6867|6868|6869|6870|6871	root|d__Archaea|p__SpSt-1190|c__SpSt-1190|o__SpSt-1190|f__SpSt-1190|g__JAAOXW01|s__JAAOXW01 sp018221005|GB_GCA_018221005.1	subspecies	s__JAAOXW01 sp018221005	GB_GCA_018221005.1
N774	0.22594				S	1|2|3|315	root|d__Archaea|p__Halobacteriota|c__Halobacteria	class	c__Halobacteria	c__Halobacteria
N783	0.16083				S	1|2|3|3817	root|d__Archaea|p__Halobacteriota|c__Methanonatronarchaeia	class	c__Methanonatronarchaeia	c__Methanonatronarchaeia
N1253	0.03572				S	1|2|3	root|d__Archaea|p__Halobacteriota	phylum	p__Halobacteriota	p__Halobacteriota
N1532	0.49639				S	1|2|3|569|570	root|d__Archaea|p__Halobacteriota|c__Methanomicrobia|o__Methanomicrobiales	order	o__Methanomicrobiales	o__Methanomicrobiales
N2609	0.04951				S	1|2|236	root|d__Archaea|p__Thermoplasmatota	phylum	p__Thermoplasmatota	p__Thermoplasmatota
N2614	0.12463				S	1|2|236|8946	root|d__Archaea|p__Thermoplasmatota|c__UBA186	class	c__UBA186	c__UBA186
GB_GCA_003663565.1	0.05457					1|2|236|6730|6731|6732|6733|6734|6735	root|d__Archaea|p__Thermoplasmatota|c__B47-G6|o__B47-G6B|f__47-G6|g__B47-G6|s__B47-G6 sp003663565|GB_GCA_003663565.1	subspecies	s__B47-G6 sp003663565	GB_GCA_003663565.1
GB_GCA_003663585.1	0.12316					1|2|236|6730|6731|6732|6733|9226|9227	root|d__Archaea|p__Thermoplasmatota|c__B47-G6|o__B47-G6B|f__47-G6|g__B47-G6|s__B47-G6 sp003663585|GB_GCA_003663585.1	subspecies	s__B47-G6 sp003663585	GB_GCA_003663585.1
N3507	0.11054				S	1|2|82	root|d__Archaea|p__Thermoproteota	phylum	p__Thermoproteota	p__Thermoproteota
N3988	0.09437				S	1|2|82	root|d__Archaea|p__Thermoproteota	phylum	p__Thermoproteota	p__Thermoproteota
N4008	0.37934				S	1|2|82|2808|2809	root|d__Archaea|p__Thermoproteota|c__Korarchaeia|o__Korarchaeales	order	o__Korarchaeales	o__Korarchaeales
GB_GCA_011041895.1	0.9634					1|2|82|2808|7527|7528|7529|7530|7531	root|d__Archaea|p__Thermoproteota|c__Korarchaeia|o__DRAE01|f__DRAE01|g__DRAE01|s__DRAE01 sp011041895|GB_GCA_011041895.1	subspecies	s__DRAE01 sp011041895	GB_GCA_011041895.1
N4272	0.05285				S	1|2|1243	root|d__Archaea|p__Asgardarchaeota	phylum	p__Asgardarchaeota	p__Asgardarchaeota
N4359	0.07846				S	1|2|1243	root|d__Archaea|p__Asgardarchaeota	phylum	p__Asgardarchaeota	p__Asgardarchaeota
N4705	0.14301				S	1|2|178|179|180	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales	order	o__Methanobacteriales	o__Methanobacteriales
RS_GCF_000166095.1	0.2821					1|2|178|179|180|8843|8844|8845|8846	root|d__Archaea|p__Methanobacteriota|c__Methanobacteria|o__Methanobacteriales|f__Methanothermaceae|g__Methanothermus|s__Methanothermus fervidus|RS_GCF_000166095.1	subspecies	s__Methanothermus fervidus	RS_GCF_000166095.1
N4732	0.07427				S	1|2|3388|3389|3390	root|d__Archaea|p__Hydrothermarchaeota|c__Hydrothermarchaeia|o__Hydrothermarchaeales	order	o__Hydrothermarchaeales	o__Hydrothermarchaeales
N4737	0.36408				S	1|2|3388|3389|3390|5070	root|d__Archaea|p__Hydrothermarchaeota|c__Hydrothermarchaeia|o__Hydrothermarchaeales|f__SZUA-236	family	f__SZUA-236	f__SZUA-236
N4778	0.08757				S	1|2|341|342|343|344	root|d__Archaea|p__Methanobacteriota_A|c__Methanococci|o__Methanococcales|f__Methanococcaceae	family	f__Methanococcaceae	f__Methanococcaceae
N4795	0.13297				S	1|2|341|342|343|3636	root|d__Archaea|p__Methanobacteriota_A|c__Methanococci|o__Methanococcales|f__Methanocaldococcaceae	family	f__Methanocaldococcaceae	f__Methanocaldococcaceae
N4799	0.14752				S	1|2|341|4017|4018|4019|4020	root|d__Archaea|p__Methanobacteriota_A|c__Methanopyri|o__Methanopyrales|f__Methanopyraceae|g__Methanopyrus	genus	g__Methanopyrus	g__Methanopyrus
GB_GCA_013154335.1	0.15031					1|2|341|4017|4018|4019|4020|6024|6025	root|d__Archaea|p__Methanobacteriota_A|c__Methanopyri|o__Methanopyrales|f__Methanopyraceae|g__Methanopyrus|s__Methanopyrus sp013154335|GB_GCA_013154335.1	subspecies	s__Methanopyrus sp013154335	GB_GCA_013154335.1
N4932	0.02972				S	1|2|1786|1787|1788|1789	root|d__Archaea|p__Methanobacteriota_B|c__Thermococci|o__Thermococcales|f__Thermococcaceae	family	f__Thermococcaceae	f__Thermococcaceae
N4937	0.05214				S	1|2|1786|1787|1788|1789|4155	root|d__Archaea|p__Methanobacteriota_B|c__Thermococci|o__Thermococcales|f__Thermococcaceae|g__Palaeococcus	genus	g__Palaeococcus	g__Palaeococcus
N4953	0.54617				S	1|2|1786|1787|1908|1909|1910	root|d__Archaea|p__Methanobacteriota_B|c__Thermococci|o__Methanofastidiosales|f__Methanofastidiosaceae|g__Methanofastidiosum	genus	g__Methanofastidiosum	g__Methanofastidiosum
N4964	0.04603				S	1|2|1786|1787|1908	root|d__Archaea|p__Methanobacteriota_B|c__Thermococci|o__Methanofastidiosales	order	o__Methanofastidiosales	o__Methanofastidiosales
N4981	0.08883				S	1|2|4241|4242|4243	root|d__Archaea|p__Hadarchaeota|c__Hadarchaeia|o__Hadarchaeales	order	o__Hadarchaeales	o__Hadarchaeales
N4988	0.15336				S	1|2|4241|4242|4243	root|d__Archaea|p__Hadarchaeota|c__Hadarchaeia|o__Hadarchaeales	order	o__Hadarchaeales	o__Hadarchaeales
N5111	0.06528				S	1|2|995|996	root|d__Archaea|p__Micrarchaeota|c__Micrarchaeia	class	c__Micrarchaeia	c__Micrarchaeia
N5126	0.53468				S	1|2|995|996|997|998	root|d__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Micrarchaeales|f__Micrarchaeaceae	family	f__Micrarchaeaceae	f__Micrarchaeaceae
N5174	0.08158				S	1|2|995|996|1504	root|d__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Norongarragalinales	order	o__Norongarragalinales	o__Norongarragalinales
GB_GCA_015522865.1	0.69962					1|2|995|996|1504|9116|9117|9118|9119	root|d__Archaea|p__Micrarchaeota|c__Micrarchaeia|o__Norongarragalinales|f__WALN01|g__WALN01|s__WALN01 sp015522865|GB_GCA_015522865.1	subspecies	s__WALN01 sp015522865	GB_GCA_015522865.1
N5182	0.49938				S	1|2|7689|7690|9185|9186	root|d__Archaea|p__B1Sed10-29|c__B1Sed10-29|o__B1Sed10-29|f__B1Sed10-29	family	f__B1Sed10-29	f__B1Sed10-29
N5187	0.10287				S	1|2|7689|7690|9185	root|d__Archaea|p__B1Sed10-29|c__B1Sed10-29|o__B1Sed10-29	order	o__B1Sed10-29	o__B1Sed10-29
N5191	0.18539				S	1|2|7689|7690|7691|7692	root|d__Archaea|p__B1Sed10-29|c__B1Sed10-29|o__WALL01|f__WALL01	family	f__WALL01	f__WALL01
GB_GCA_015522495.1	0.59771					1|2|7689|7690|7691|10571|10572|10573|10574	root|d__Archaea|p__B1Sed10-29|c__B1Sed10-29|o__WALL01|f__WAMD01|g__WAMD01|s__WAMD01 sp015522495|GB_GCA_015522495.1	subspecies	s__WAMD01 sp015522495	GB_GCA_015522495.1
N5288	0.15042				S	1|2|2124|2125|2274	root|d__Archaea|p__Iainarchaeota|c__Iainarchaeia|o__Iainarchaeales	order	o__Iainarchaeales	o__Iainarchaeales
N5297	0.10428				S	1|2|2124|2125|2126	root|d__Archaea|p__Iainarchaeota|c__Iainarchaeia|o__0-14-0-20-30-16	order	o__0-14-0-20-30-16	o__0-14-0-20-30-16
N5303	0.11				S	1|2|2124|2125|7211|7212|8430	root|d__Archaea|p__Iainarchaeota|c__Iainarchaeia|o__JAADDC01|f__JAADDC01|g__JAADDC01	genus	g__JAADDC01	g__JAADDC01
